title ,category ,excerpt,content,picture
"Plantilla Gravitate","Antecedentes","La forma en como está diagramada ésta plantilla me parece interesante ya que los productos podrian mostrarse fácilmente.","Las imágenes lo son todo por lo tanto  mostraría la mayor cantidad de productos a través de las fotografías.",https://www.thebestdesigns.com/designs/gravitate
"Plantilla Moonfarmer","Antecedentes","Si se va a tratar sobre panqueques de ciencia ficción necesito que mi página exprese esa identidad.","Me agrada que transmita la sensación de estár en el espacio.",https://www.thebestdesigns.com/designs/moonfarmer
"Insert Coin","Referentes","Éste lugar se especializa en una experiencia de video juegos y todo su menú está orientado a los videos juegos.","Atraería a los mismos consumidores pero desde una manera más dulce.",http://www.insertcoin.cl/
"Crepes y Waffles","Referentes","Crepes se especializa y se dedica a cuidar la calidad y el sabor.","Si bien este local es muy fancy considero que su filosofía de crepes es más que solo vender  crepes y waffles",http://crepesywaffles.cl/
